N,P,K,temperature,humidity,ph,rainfall,label
107,36,21,25,75,6,62.64,cotton
85,57,40,21,80,7,225.78,rice
48,75,18,27,67,7,60.3,blackgram
27,28,30,28,91,5,146.68,coconut
118,17,32,27,51,6,122.84,coffee
10,5,24,28,96,6,180.03,coconut
76,35,44,23,73,6,154.36,jute
98,56,36,21,79,6,277.15,rice
24,29,44,20,85,6,101.48,pomegranate
39,60,21,34,63,6,64.73,blackgram
13,29,36,20,91,6,105.05,pomegranate
82,57,45,25,83,5,244.34,rice
26,56,25,27,43,6,141.69,pigeonpeas
23,54,15,23,67,6,48.56,lentil
68,40,19,26,66,6,107.24,maize
91,50,43,26,73,6,171.52,jute
49,54,49,25,93,6,97.22,papaya
29,122,196,41,81,5,73.07,grapes
80,71,47,27,80,6,105.37,banana
64,47,35,25,74,6,176.61,jute
87,51,39,23,87,6,156.43,jute
26,63,17,29,65,6,44.96,lentil
88,54,37,24,84,6,232.0,rice
82,26,47,28,93,6,24.2,muskmelon
116,19,54,28,90,6,25.71,muskmelon
40,48,46,42,91,6,244.7,papaya
5,35,20,28,53,9,66.36,mothbeans
98,55,36,21,80,6,279.15,rice
29,26,30,26,98,5,208.45,coconut
114,21,55,25,87,6,57.52,watermelon
10,55,17,28,81,6,37.27,mungbean
0,131,198,23,90,5,103.78,apple
71,59,26,18,69,5,88.52,maize
36,79,19,33,49,7,99.88,pigeonpeas
36,135,202,41,83,6,69.61,grapes
44,47,45,38,94,6,218.14,papaya
33,59,19,23,21,5,87.89,kidneybeans
22,61,84,18,19,8,81.97,chickpea
40,17,15,21,90,7,107.09,orange
22,28,26,27,45,4,92.85,mango
80,45,41,23,74,7,152.07,jute
34,55,82,19,17,7,81.54,chickpea
43,79,79,19,18,7,80.25,chickpea
94,91,52,29,76,5,108.95,banana
95,74,48,25,80,5,109.08,banana
70,54,37,23,85,6,176.87,jute
60,43,16,26,71,6,101.4,maize
28,7,9,34,92,6,115.57,orange
10,76,24,28,50,5,178.68,pigeonpeas
91,41,37,24,83,6,191.2,jute
61,41,37,24,79,6,196.48,jute
85,57,43,21,80,7,227.0,rice
23,71,83,18,17,6,80.11,chickpea
119,9,50,26,83,6,40.79,watermelon
96,49,40,24,81,7,261.21,rice
92,84,51,29,77,6,116.26,banana
85,55,20,21,60,6,108.67,maize
20,139,202,23,92,5,107.99,apple
70,68,45,33,92,7,202.66,papaya
99,15,27,27,57,6,165.69,coffee
29,34,28,28,53,6,90.82,mango
72,57,19,19,58,6,60.23,maize
26,72,77,19,16,7,84.22,chickpea
60,54,19,18,62,6,70.23,maize
89,52,42,23,81,6,196.66,jute
28,6,40,22,91,6,106.87,pomegranate
108,26,52,28,94,6,26.24,muskmelon
84,38,36,23,52,6,116.75,coffee
83,36,41,25,80,6,170.77,jute
70,68,55,42,94,6,78.81,papaya
68,44,38,22,82,7,260.5,rice
24,70,16,25,68,6,35.03,lentil
103,72,51,26,81,6,104.48,banana
22,16,27,29,90,6,188.93,coconut
93,22,52,26,81,6,41.88,watermelon
17,125,202,22,91,6,102.42,apple
22,54,17,20,69,5,185.9,pigeonpeas
21,39,20,27,52,7,60.75,mothbeans
103,17,51,25,80,6,44.21,watermelon
33,60,50,28,93,6,116.91,papaya
30,75,81,19,16,6,68.5,chickpea
32,79,15,23,20,5,81.6,kidneybeans
104,94,51,27,84,5,101.76,banana
2,21,25,29,48,5,99.53,mango
0,47,25,29,85,6,58.1,mungbean
14,76,18,28,62,7,37.42,lentil
1,76,17,28,52,6,147.04,pigeonpeas
10,59,16,29,89,6,59.08,mungbean
90,43,38,23,83,7,241.62,rice
27,13,5,13,91,7,110.07,orange
13,144,197,22,94,6,105.69,apple
53,65,77,20,16,8,78.94,chickpea
80,52,40,23,80,5,233.09,rice
34,56,17,33,35,4,139.67,pigeonpeas
13,22,5,19,90,7,100.17,orange
85,79,43,27,83,5,98.74,banana
23,69,16,25,68,6,34.66,lentil
37,67,52,29,91,6,202.44,papaya
99,73,51,25,81,5,96.01,banana
59,46,52,24,92,6,180.99,papaya
37,36,25,27,48,5,88.75,mango
34,65,48,41,90,6,199.31,papaya
12,61,18,19,23,5,67.59,kidneybeans
118,13,54,24,89,6,44.08,watermelon
12,76,18,30,35,6,178.45,pigeonpeas
116,71,47,27,82,6,91.34,banana
31,53,16,28,85,6,48.55,mungbean
63,47,35,26,89,7,193.88,jute
75,34,40,26,80,6,242.69,rice
81,30,31,24,51,7,135.14,coffee
19,40,19,29,89,7,51.22,mungbean
91,35,38,24,80,6,183.68,rice
114,20,57,25,88,6,59.41,watermelon
78,44,43,25,79,7,188.28,jute
11,71,20,19,24,5,112.09,kidneybeans
34,16,25,30,50,6,92.1,mango
29,54,16,27,54,8,32.05,mothbeans
35,77,19,25,68,7,52.62,lentil
27,74,21,24,50,5,113.39,pigeonpeas
39,24,39,23,93,6,109.81,pomegranate
48,62,45,25,93,6,174.1,papaya
8,127,196,27,83,5,70.96,grapes
82,35,44,26,78,6,169.84,jute
82,40,41,23,85,6,298.25,rice
106,40,30,23,64,6,122.68,coffee
22,72,83,18,17,6,80.64,chickpea
24,38,22,24,58,8,34.97,mothbeans
14,74,19,18,36,6,93.12,pigeonpeas
40,55,18,30,40,7,47.95,mothbeans
100,17,48,29,94,6,26.52,muskmelon
8,132,194,20,81,6,71.75,grapes
39,60,20,20,64,6,45.7,lentil
113,20,48,27,94,6,28.89,muskmelon
68,55,44,26,75,7,182.28,jute
18,71,14,28,69,6,45.57,lentil
22,70,19,18,21,5,69.45,kidneybeans
118,40,35,26,58,7,121.56,coffee
36,125,196,37,80,6,66.84,grapes
133,51,19,24,77,6,62.42,cotton
91,75,54,27,76,6,111.66,banana
16,69,18,24,41,5,121.52,pigeonpeas
43,78,80,19,19,7,79.33,chickpea
13,67,18,30,34,5,177.58,pigeonpeas
58,55,47,26,93,6,240.69,papaya
98,7,43,27,93,6,27.78,muskmelon
122,59,18,23,83,6,79.81,cotton
25,62,21,26,68,7,67.15,blackgram
60,48,39,24,80,7,229.94,rice
109,29,28,23,60,6,194.18,coffee
107,10,48,25,89,6,47.09,watermelon
108,87,56,26,83,5,114.43,banana
104,20,34,25,56,7,188.72,coffee
57,60,84,19,17,6,75.49,chickpea
93,69,47,25,85,6,91.09,banana
118,87,50,25,80,6,100.44,banana
117,43,25,24,78,7,69.72,cotton
71,45,39,20,81,7,194.54,rice
4,43,16,29,61,8,74.0,mothbeans
58,67,81,17,17,8,73.07,chickpea
88,33,41,23,83,5,290.65,rice
119,49,15,22,75,7,71.57,cotton
13,64,20,19,62,6,36.47,lentil
58,45,43,42,91,6,87.79,papaya
79,51,37,26,76,7,198.16,jute
122,40,18,24,81,6,80.18,cotton
27,40,24,27,89,7,52.85,mungbean
88,35,40,23,83,5,291.3,rice
37,77,21,22,60,4,158.67,pigeonpeas
86,6,47,29,91,6,22.36,muskmelon
116,81,55,26,83,5,95.12,banana
94,52,40,20,82,5,240.8,rice
19,66,18,19,50,5,180.22,pigeonpeas
76,44,17,20,62,5,65.28,maize
6,13,29,27,99,5,201.83,coconut
94,94,52,25,84,6,115.26,banana
109,10,53,26,87,6,46.06,watermelon
118,17,52,28,90,6,20.76,muskmelon
107,71,55,29,83,6,117.23,banana
65,54,39,23,71,7,160.09,jute
36,144,196,23,94,6,115.36,apple
111,74,47,29,76,5,88.93,banana
58,56,79,20,16,8,82.27,chickpea
1,35,31,30,51,5,93.41,mango
12,60,22,19,63,7,47.85,lentil
98,42,35,25,76,7,187.83,jute
6,59,21,26,66,6,50.91,lentil
79,57,15,24,67,6,63.17,maize
62,42,35,22,82,6,249.52,rice
36,4,33,25,93,5,153.95,coconut
117,19,55,28,91,6,25.16,muskmelon
37,14,24,33,48,6,91.34,mango
32,129,201,16,83,6,71.56,grapes
14,67,22,23,24,5,84.64,kidneybeans
29,41,21,31,62,8,64.57,mothbeans
12,78,23,16,18,6,87.52,kidneybeans
19,35,24,27,83,6,49.12,mungbean
27,57,25,27,44,6,142.06,pigeonpeas
111,87,48,26,81,5,98.17,banana
90,15,45,25,80,6,50.24,watermelon
78,37,22,25,63,6,74.52,maize
35,48,15,27,87,6,55.04,mungbean
86,39,43,26,71,6,193.1,jute
0,132,197,22,91,5,125.14,apple
87,38,15,25,67,6,63.91,maize
36,50,51,32,90,6,78.27,papaya
20,28,27,27,51,4,95.19,mango
99,19,33,27,55,6,130.64,coffee
119,7,55,26,84,6,44.4,watermelon
111,88,47,27,77,6,99.24,banana
102,37,25,25,77,5,73.02,cotton
21,134,201,10,79,6,64.79,grapes
6,68,18,24,62,6,47.26,lentil
87,5,45,26,86,6,41.3,watermelon
82,24,50,24,88,6,46.88,watermelon
109,12,48,29,92,6,20.76,muskmelon
22,60,85,18,14,7,94.78,chickpea
102,28,54,25,80,6,55.39,watermelon
102,45,16,23,77,7,74.9,cotton
83,94,47,27,81,6,112.14,banana
76,56,42,25,76,6,193.33,jute
55,68,81,17,17,8,73.88,chickpea
108,89,52,29,77,5,98.25,banana
82,49,45,25,81,5,183.61,rice
83,10,53,24,85,6,48.76,watermelon
135,35,23,22,81,7,90.92,cotton
60,68,83,19,18,6,85.53,chickpea
4,43,18,29,61,8,72.98,mothbeans
32,25,35,18,85,5,107.01,pomegranate
27,61,15,25,67,6,48.34,lentil
3,17,15,33,93,7,118.16,orange
4,12,37,22,89,5,104.33,pomegranate
15,133,199,23,91,5,117.61,apple
68,62,49,33,92,7,196.55,papaya
127,37,18,25,84,6,78.63,cotton
81,40,39,22,83,7,202.16,rice
90,39,37,24,81,6,190.79,jute
37,57,20,31,44,7,70.8,mothbeans
23,68,20,19,45,5,134.09,pigeonpeas
41,75,82,19,14,7,64.11,chickpea
125,37,22,25,84,6,74.88,cotton
120,25,50,28,94,6,21.85,muskmelon
69,60,54,36,93,6,141.17,papaya
100,34,31,26,62,6,141.83,coffee
53,62,79,17,15,7,79.22,chickpea
35,80,25,27,44,4,199.3,pigeonpeas
69,46,41,23,80,5,263.11,rice
18,18,28,27,91,6,161.48,coconut
33,47,20,27,85,6,54.74,mungbean
72,60,25,18,69,5,87.44,maize
4,59,19,26,67,7,40.81,lentil
93,47,37,21,82,6,295.92,rice
1,6,35,27,95,6,147.17,coconut
117,29,51,25,86,6,44.09,watermelon
76,48,42,24,85,5,196.47,rice
116,40,33,24,54,7,129.55,coffee
100,70,48,25,75,6,116.11,banana
69,65,51,30,93,6,75.4,papaya
62,41,44,24,81,6,160.99,jute
19,49,26,26,47,3,44.26,mothbeans
24,36,16,26,47,5,38.27,mothbeans
9,49,16,30,41,7,55.05,mothbeans
8,49,15,30,41,7,54.03,mothbeans
19,67,23,25,64,7,62.83,blackgram
64,35,23,23,61,5,63.04,maize
14,5,36,24,85,5,104.77,pomegranate
36,18,32,27,51,4,92.16,mango
69,44,40,24,88,6,168.13,jute
89,59,18,25,66,5,77.12,maize
20,8,12,25,94,7,117.97,orange
61,58,15,23,59,6,105.42,maize
77,57,21,24,73,6,79.74,maize
23,72,18,19,32,4,179.54,pigeonpeas
28,21,39,23,89,6,107.23,pomegranate
80,46,43,23,79,6,186.12,jute
23,23,31,28,45,5,94.3,mango
40,45,20,29,57,6,38.34,mothbeans
7,63,25,22,24,5,108.21,kidneybeans
99,29,55,29,91,6,26.48,muskmelon
4,46,15,31,62,3,63.77,mothbeans
24,142,202,22,91,5,101.85,apple
93,43,38,23,86,6,150.24,jute
90,35,37,23,80,6,205.58,rice
19,78,24,35,38,5,147.82,pigeonpeas
59,58,17,28,66,7,62.83,blackgram
117,87,50,28,82,5,98.33,banana
8,45,18,27,85,7,43.25,mungbean
81,53,42,23,81,5,233.7,rice
75,49,15,21,71,5,102.49,maize
27,57,23,27,43,6,141.53,pigeonpeas
31,34,28,33,52,6,98.35,mango
105,14,50,26,87,6,59.66,watermelon
4,125,202,27,83,5,71.07,grapes
23,57,19,32,67,7,73.4,blackgram
24,17,6,26,94,6,116.38,orange
27,138,201,23,93,5,105.4,apple
20,79,75,18,15,7,76.87,chickpea
93,54,36,26,82,7,289.35,rice
84,37,44,26,73,7,160.52,jute
0,21,32,36,54,6,93.71,mango
37,124,195,18,83,6,66.6,grapes
49,68,22,28,61,7,63.5,blackgram
100,78,52,27,76,6,111.51,banana
82,42,38,23,81,5,242.65,rice
71,41,43,26,81,6,181.8,jute
82,24,26,24,53,6,184.41,coffee
11,78,23,16,18,5,88.07,kidneybeans
19,76,24,34,38,5,147.99,pigeonpeas
1,12,29,27,95,5,130.93,coconut
14,70,20,21,63,7,52.62,lentil
136,36,24,22,80,7,90.07,cotton
75,56,43,25,73,6,168.52,jute
1,78,15,21,64,7,35.65,lentil
10,121,194,12,84,5,69.52,grapes
85,77,54,29,80,5,90.62,banana
35,72,21,34,64,7,66.86,blackgram
18,11,33,26,96,6,130.19,coconut
86,39,43,26,71,6,192.5,jute
60,61,77,20,20,6,94.44,chickpea
40,144,196,22,92,5,107.03,apple
17,29,26,26,93,6,195.41,coconut
1,29,31,27,49,6,94.32,mango
66,46,35,24,74,6,176.41,jute
123,39,24,25,78,7,86.06,cotton
79,70,44,27,80,6,106.53,banana
5,19,24,27,54,6,96.94,mango
0,26,13,19,90,6,117.82,orange
2,47,15,29,85,6,58.41,mungbean
66,69,47,23,93,6,87.53,papaya
11,29,13,22,91,7,118.01,orange
25,67,17,29,64,7,65.65,blackgram
15,76,18,25,66,7,47.46,lentil
65,37,40,23,83,5,188.41,rice
80,30,25,26,65,7,148.38,coffee
94,11,45,26,81,6,53.84,watermelon
26,9,31,25,95,6,144.46,coconut
100,56,40,26,83,7,176.15,jute
84,27,29,23,53,7,168.26,coffee
73,34,37,24,81,5,186.26,rice
88,41,43,26,72,7,191.24,jute
25,59,19,29,83,6,43.95,mungbean
8,45,15,28,60,4,33.84,mothbeans
5,16,31,35,48,4,98.01,mango
106,46,20,23,78,6,81.15,cotton
88,35,35,27,58,6,117.94,coffee
2,51,17,25,45,5,38.53,mothbeans
31,40,22,29,86,6,53.35,mungbean
100,24,28,25,57,7,195.77,coffee
111,78,53,28,76,6,121.29,banana
90,13,49,24,88,6,60.34,watermelon
42,59,55,40,94,6,149.12,papaya
29,25,14,30,90,7,113.33,orange
87,54,44,25,83,6,231.26,rice
10,46,24,27,89,6,56.53,mungbean
18,54,24,21,56,6,134.46,pigeonpeas
7,56,18,18,24,5,76.14,kidneybeans
39,37,15,28,83,6,59.84,mungbean
27,57,25,27,61,6,35.21,lentil
86,76,54,29,80,5,90.11,banana
37,37,14,28,87,6,56.63,mungbean
23,55,16,21,69,5,185.2,pigeonpeas
36,57,16,28,56,8,54.74,mothbeans
28,32,25,33,54,6,89.92,mango
80,52,42,23,81,5,231.9,rice
92,85,51,29,81,5,108.86,banana
82,39,44,26,81,6,180.08,jute
34,60,16,31,64,7,63.86,blackgram
30,61,20,28,61,5,183.07,pigeonpeas
18,17,31,31,45,5,93.75,mango
108,89,53,29,80,5,112.4,banana
1,23,34,28,55,6,94.2,mango
29,22,27,30,50,5,94.49,mango
71,56,35,23,86,6,176.22,jute
0,29,29,27,49,6,94.51,mango
38,38,18,26,61,6,35.73,mothbeans
92,35,40,22,80,6,200.09,rice
26,80,18,19,23,5,104.78,kidneybeans
18,55,23,21,56,6,136.83,pigeonpeas
50,58,23,27,62,7,69.76,blackgram
36,64,22,17,18,5,120.13,kidneybeans
92,34,39,22,80,6,200.17,rice
83,21,28,25,60,7,190.23,coffee
34,73,15,20,63,7,53.1,lentil
37,135,205,11,80,5,74.1,grapes
75,53,18,20,59,6,103.65,maize
94,49,37,25,81,6,211.02,rice
79,89,46,26,79,6,107.81,banana
91,7,48,26,86,6,52.12,watermelon
20,29,10,29,93,7,100.79,orange
83,40,38,23,83,6,298.68,rice
14,22,9,17,91,6,112.51,orange
25,68,25,28,64,7,38.84,lentil
10,63,17,18,19,5,139.54,kidneybeans
31,73,80,20,15,5,92.23,chickpea
0,22,12,22,93,7,108.97,orange
13,69,19,20,62,7,51.5,lentil
84,49,42,25,80,5,183.42,rice
52,53,54,33,91,6,234.0,papaya
28,74,81,18,18,8,81.99,chickpea
99,38,19,22,72,6,69.03,maize
100,17,52,26,80,6,56.48,watermelon
126,38,23,25,83,6,88.44,cotton
58,66,79,20,19,8,93.55,chickpea
89,50,38,20,84,6,229.37,rice
28,24,34,28,91,5,162.02,coconut
88,78,45,29,79,6,92.08,banana
32,75,15,27,64,7,43.39,lentil
29,30,35,25,94,6,164.75,coconut
82,57,46,25,83,5,247.2,rice
14,140,197,23,90,6,113.04,apple
72,41,35,26,87,6,153.26,jute
80,43,16,23,71,6,66.72,maize
80,53,42,23,81,5,233.33,rice
37,70,25,19,24,5,84.06,kidneybeans
77,55,21,25,73,6,78.51,maize
21,137,196,23,91,5,123.59,apple
73,39,38,23,83,7,232.66,rice
31,77,21,24,62,6,53.62,lentil
44,60,55,34,90,6,98.54,papaya
19,41,19,29,88,7,52.52,mungbean
91,34,40,22,81,6,199.42,rice
32,57,22,28,87,6,44.57,mungbean
48,62,45,32,94,6,240.94,papaya
40,61,22,20,65,7,44.24,lentil
33,47,46,29,93,6,209.41,papaya
66,36,40,23,83,5,187.02,rice
40,11,44,24,86,6,111.38,pomegranate
87,54,43,25,83,6,233.31,rice
66,39,20,26,66,6,106.82,maize
24,73,20,19,32,4,176.41,pigeonpeas
90,8,50,24,83,6,55.91,watermelon
29,22,39,23,89,6,109.05,pomegranate
23,72,84,18,16,6,81.01,chickpea
32,20,36,26,97,5,144.57,coconut
63,43,19,18,55,6,90.99,maize
123,50,16,23,75,6,70.66,cotton
85,34,21,26,72,5,75.96,maize
38,135,203,41,82,6,69.92,grapes
5,62,23,26,48,5,159.35,pigeonpeas
92,55,42,23,82,7,194.78,rice
117,71,56,25,83,6,111.93,banana
87,35,37,23,83,5,293.09,rice
68,69,52,25,92,6,52.95,papaya
26,9,32,25,94,6,144.16,coconut
84,39,43,24,88,7,169.35,jute
18,66,22,25,67,6,47.9,lentil
20,30,31,35,50,5,90.68,mango
99,41,20,22,85,7,92.64,cotton
59,45,20,25,64,6,87.77,maize
46,76,77,18,19,6,83.75,chickpea
32,57,25,35,69,5,108.16,pigeonpeas
119,44,15,22,82,7,60.65,cotton
22,138,195,27,83,6,73.03,grapes
0,5,36,24,90,6,105.53,pomegranate
9,35,20,27,80,6,40.53,mungbean
91,35,45,24,81,5,268.15,rice
0,25,14,19,91,6,116.45,orange
84,39,35,23,52,6,117.31,coffee
59,55,43,22,82,7,263.51,rice
17,77,23,24,20,5,64.19,kidneybeans
22,38,32,31,52,5,98.38,mango
82,21,43,26,85,6,54.54,watermelon
10,44,17,26,54,8,34.79,mothbeans
90,14,52,24,89,6,59.68,watermelon
120,39,31,24,55,6,114.59,coffee
24,59,25,27,88,6,54.88,mungbean
23,123,204,32,84,5,67.52,grapes
39,36,26,33,45,6,100.01,mango
84,22,52,26,89,6,59.04,watermelon
122,43,20,25,75,7,90.39,cotton
4,37,18,28,79,6,37.88,mungbean
31,51,25,27,85,7,53.04,mungbean
19,77,21,35,37,5,146.12,pigeonpeas
27,24,29,26,96,6,191.01,coconut
103,33,33,26,50,7,126.81,coffee
108,24,31,24,56,6,147.28,coffee
53,54,55,33,90,6,233.32,papaya
16,145,197,26,80,5,67.66,grapes
36,55,18,27,84,6,55.75,mungbean
32,13,42,23,92,5,108.61,pomegranate
69,67,52,27,94,6,82.83,papaya
140,45,15,25,80,5,99.4,cotton
14,59,22,23,67,6,46.91,lentil
2,45,15,30,62,3,63.63,mothbeans
48,55,78,18,16,7,81.83,chickpea
32,17,13,13,91,6,107.99,orange
30,51,22,27,85,7,55.99,mungbean
15,36,27,27,53,5,91.01,mango
53,65,75,20,16,8,78.58,chickpea
97,8,52,24,86,6,49.49,watermelon
34,10,14,34,92,6,116.8,orange
78,43,42,21,83,7,192.32,rice
34,47,19,27,85,6,53.15,mungbean
10,72,22,29,44,6,173.69,pigeonpeas
17,26,29,26,98,5,165.92,coconut
85,53,38,24,74,6,155.08,jute
117,56,15,25,77,7,89.12,cotton
100,35,36,25,72,6,190.56,jute
39,9,15,25,91,7,116.76,orange
31,79,21,27,63,5,54.03,lentil
0,21,32,35,53,6,91.95,mango
0,4,36,24,90,6,104.53,pomegranate
76,48,18,19,69,5,83.21,maize
33,120,205,35,82,5,69.72,grapes
17,11,35,26,96,6,132.28,coconut
108,38,24,23,76,7,78.82,cotton
36,61,21,34,39,5,168.59,pigeonpeas
14,127,205,22,94,6,115.55,apple
35,41,18,28,81,6,59.87,mungbean
90,39,43,24,82,6,191.89,jute
32,13,42,23,92,5,106.62,pomegranate
81,5,54,24,85,6,50.91,watermelon
74,58,19,20,55,6,109.06,maize
34,54,22,31,41,5,70.04,mothbeans
8,120,201,21,91,6,122.23,apple
57,60,17,26,67,7,73.59,blackgram
4,69,19,19,47,5,149.06,pigeonpeas
10,74,17,21,69,6,46.64,lentil
99,9,51,24,84,6,41.27,watermelon
60,67,83,19,18,6,86.29,chickpea
112,85,47,27,77,6,100.77,banana
37,62,21,17,20,5,121.4,kidneybeans
26,58,22,30,52,7,171.68,pigeonpeas
81,42,36,22,83,7,202.23,rice
27,61,18,33,67,5,108.51,pigeonpeas
88,91,54,25,80,6,95.2,banana
105,30,50,25,81,6,57.04,watermelon
17,77,22,31,36,6,101.77,pigeonpeas
9,139,199,23,94,5,105.36,apple
94,26,27,26,52,7,177.32,coffee
80,45,42,23,74,7,151.9,jute
19,122,202,23,90,5,112.9,apple
25,62,18,19,56,4,193.76,pigeonpeas
95,11,47,26,81,6,54.15,watermelon
84,58,39,21,80,7,228.52,rice
26,126,194,21,93,5,118.42,apple
86,5,44,29,89,6,24.97,muskmelon
90,75,56,27,76,6,110.48,banana
29,132,204,23,90,6,108.22,apple
35,37,18,25,63,9,32.17,mothbeans
24,60,21,21,21,5,135.55,kidneybeans
36,42,22,27,87,6,58.77,mungbean
104,25,50,28,93,6,23.07,muskmelon
8,119,196,24,82,6,68.97,grapes
95,12,51,25,84,6,44.22,watermelon
25,50,18,27,54,9,48.34,mothbeans
63,58,22,18,55,6,63.72,maize
10,74,16,21,70,6,47.94,lentil
74,56,22,18,66,6,80.98,maize
22,42,22,25,56,7,48.47,mothbeans
100,52,19,23,82,7,93.5,cotton
10,27,29,27,49,6,90.57,mango
94,50,37,25,80,6,209.59,rice
26,122,202,22,94,5,107.18,apple
6,77,25,20,24,5,69.64,kidneybeans
77,41,42,20,81,7,261.98,rice
81,55,35,23,72,7,175.81,jute
71,46,39,20,81,7,192.79,rice
72,41,36,26,86,6,152.98,jute
22,49,20,28,62,3,71.92,mothbeans
18,77,18,20,68,6,41.74,lentil
32,11,31,25,93,6,134.84,coconut
23,143,196,38,81,5,70.93,grapes
108,88,55,26,83,5,113.87,banana
19,29,26,25,91,6,159.02,coconut
26,17,27,27,92,5,142.14,coconut
116,28,34,23,60,6,122.21,coffee
21,122,204,32,83,5,69.07,grapes
79,45,20,23,59,5,89.96,maize
27,74,80,19,16,6,69.15,chickpea
10,60,23,27,88,7,51.1,mungbean
33,61,49,28,92,6,116.58,papaya
115,48,16,25,84,7,88.94,cotton
39,27,44,21,95,5,112.11,pomegranate
37,22,28,25,93,5,221.92,coconut
74,39,23,22,65,6,88.17,maize
91,84,51,29,81,5,110.1,banana
1,35,25,34,51,5,96.29,mango
52,71,16,27,68,7,71.79,blackgram
20,67,19,19,50,5,180.65,pigeonpeas
22,79,19,23,18,5,100.24,kidneybeans
21,37,21,29,87,6,37.27,mungbean
79,26,55,24,89,6,49.02,watermelon
21,54,19,28,83,6,40.55,mungbean
66,43,38,25,71,7,195.63,jute
73,58,21,19,57,6,60.65,maize
37,11,36,24,85,6,106.92,pomegranate
32,138,203,33,82,5,70.63,grapes
1,30,29,28,51,6,91.67,mango
11,66,20,27,63,7,44.43,lentil
11,34,33,36,52,5,94.73,mango
24,121,200,30,82,5,72.3,grapes
37,35,26,33,52,4,95.7,mango
31,62,52,33,93,6,182.03,papaya
39,23,29,33,55,4,97.4,mango
23,70,15,19,19,5,105.68,kidneybeans
40,60,21,36,62,5,161.66,pigeonpeas
13,47,20,29,87,6,43.14,mungbean
106,48,24,23,76,6,89.72,cotton
23,18,5,26,94,6,116.92,orange
91,49,39,20,84,6,228.77,rice
1,34,33,30,46,6,91.55,mango
14,37,15,27,83,6,48.94,mungbean
82,57,17,25,71,6,98.19,maize
88,60,19,25,66,5,79.39,maize
36,66,15,30,69,6,67.14,blackgram
40,4,31,26,96,5,144.21,coconut
22,65,22,19,23,5,105.56,kidneybeans
131,59,16,25,81,7,83.21,cotton
28,10,30,29,91,6,192.77,coconut
28,17,28,29,96,5,212.57,coconut
98,56,37,24,81,6,155.44,jute
90,43,44,20,81,6,202.33,rice
41,60,14,29,63,7,65.9,blackgram
92,82,48,27,76,6,101.94,banana
27,68,17,29,66,6,34.7,lentil
65,59,22,25,72,6,108.73,maize
4,59,22,29,49,8,42.44,mothbeans
36,35,26,27,46,5,88.62,mango
66,54,42,26,74,7,182.28,jute
54,65,47,27,91,6,149.91,papaya
8,59,21,28,87,7,36.78,mungbean
1,12,30,27,95,5,131.09,coconut
102,57,18,25,82,6,78.42,cotton
37,78,79,19,14,7,88.68,chickpea
78,58,15,25,67,6,62.91,maize
26,11,11,13,90,7,106.29,orange
85,37,39,24,82,6,224.68,rice
24,23,32,28,45,5,94.19,mango
9,66,21,30,34,5,157.09,pigeonpeas
57,57,75,17,18,7,87.27,chickpea
34,70,16,29,66,6,197.61,pigeonpeas
116,25,50,29,92,6,28.71,muskmelon
9,11,8,24,94,6,111.78,orange
93,82,45,29,83,5,109.54,banana
38,57,84,17,15,5,68.15,chickpea
84,29,49,29,93,6,20.39,muskmelon
3,40,26,27,49,6,95.38,mango
97,53,38,20,81,5,271.34,rice
31,64,80,20,15,7,78.65,chickpea
33,74,21,26,63,6,42.76,lentil
34,5,28,25,91,5,148.03,coconut
67,44,37,22,82,7,262.13,rice
86,55,43,24,80,7,253.98,rice
77,37,23,25,63,6,75.21,maize
17,79,19,20,68,6,44.5,lentil
40,63,21,21,66,7,44.73,lentil
110,71,54,28,82,5,94.38,banana
93,48,19,23,73,5,97.93,maize
3,63,16,24,61,6,53.14,lentil
22,39,22,29,82,6,43.97,mungbean
113,6,52,27,90,6,25.22,muskmelon
26,73,21,31,57,4,161.78,pigeonpeas
5,20,36,25,94,5,129.83,coconut
32,121,199,39,81,6,74.08,grapes
6,124,200,22,93,5,109.59,apple
34,54,22,30,52,8,55.7,mothbeans
52,63,19,29,68,6,67.53,blackgram
8,20,31,32,53,5,96.14,mango
62,34,15,21,65,6,81.71,maize
113,19,47,27,95,6,24.41,muskmelon
32,29,34,27,92,6,143.01,coconut
14,25,40,20,90,6,103.71,pomegranate
9,58,24,20,39,4,138.3,pigeonpeas
94,86,51,29,77,6,92.33,banana
31,40,20,29,86,6,53.92,mungbean
85,35,32,26,54,6,133.11,coffee
99,12,52,28,94,6,22.22,muskmelon
7,56,23,26,40,5,55.5,mothbeans
34,30,35,28,95,6,181.56,coconut
86,95,49,28,78,6,108.4,banana
23,21,26,26,93,5,149.22,coconut
2,67,18,34,47,5,129.01,pigeonpeas
19,57,23,23,46,7,142.68,pigeonpeas
89,43,39,23,84,7,240.72,rice
38,74,15,24,17,5,62.03,kidneybeans
113,19,46,25,81,6,49.52,watermelon
86,38,40,25,87,6,176.39,jute
7,17,6,12,89,7,110.12,orange
95,85,51,29,77,6,93.14,banana
36,43,22,27,87,6,58.37,mungbean
29,78,25,19,59,5,195.79,pigeonpeas
61,48,20,21,60,6,96.94,maize
0,69,20,36,55,4,101.07,pigeonpeas
0,17,30,35,47,6,97.79,mango
25,64,20,33,32,4,105.04,pigeonpeas
89,46,41,22,83,6,195.23,rice
90,59,19,25,67,5,77.26,maize
